Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Safety_Rating,Number_of_Owners,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Car_Age,Car_Age_Group,Brand_BMW,Brand_Bugatti,Brand_Chevrolet,Brand_Ferrari,Brand_Ford,Brand_Lamborghini,Brand_McLaren,Brand_Nissan,Brand_Porsche,Model_720S,Model_911 Turbo S,Model_Chiron,Model_Corvette Z06,Model_DBS,Model_GT-R,Model_Huracan,Model_M4 Competition,Model_Mustang GT,Country_Europe,Country_USA,Condition_restored,Condition_salvage,Condition_used,Fuel_Type_Electric,Fuel_Type_Petrol,Drivetrain_FWD,Drivetrain_RWD,Transmission_CVT,Transmission_DCT,Transmission_Manual,Popularity_Low,Popularity_Medium,Market_Demand_Low,Market_Demand_Medium,Modification_Nismo,Modification_RS,Modification_Sport,Modification_Supercharged,Modification_Track Edition,Modification_Turbo,Modification_V-Spec,Cluster
3.7,420,705,1785,238,5.7,10.5,307,81580,96664,2,4,13410,5000,11.309351670702773,11.4790066717666,19,Menengah,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,2.0
4.2,810,1222,2130,245,2.1,7.4,176,398429,222953,4,3,5645,5000,12.895287103062406,12.314720751137113,37,Lama,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,3.0
7.4,1189,184,1526,185,6.7,12.6,207,133803,202882,2,4,12037,50,11.804131321595625,12.220384737187915,5,Baru,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,2.0
2.1,871,173,1490,186,5.5,13.8,336,42412,45449,1,4,9625,1000,10.655210198000304,10.724368099605623,17,Menengah,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,2.0
7.0,721,1364,1095,383,4.2,13.5,347,347528,115875,2,1,14327,5000,12.758603393742366,11.66027593282013,11,Menengah,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,3.0
4.3,879,355,1161,251,6.4,5.6,242,405877,18299,4,2,10760,100000,12.913807900816082,9.814656338829511,19,Menengah,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,
7.0,967,731,1319,329,2.2,9.1,418,148171,175288,2,1,12833,20000,11.906129040120726,12.074191319368326,38,Lama,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,3.0
6.1,496,1579,1580,360,6.2,5.6,353,367143,24228,3,1,13907,200,12.81350942065171,10.095305541807427,17,Menengah,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.0
4.7,1497,813,906,256,4.3,13.7,389,309732,93715,2,4,3299,5000,12.643465915015126,11.44802421138653,11,Menengah,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,0.0
7.7,425,1082,1433,164,6.2,8.5,194,374666,206153,2,4,11829,100000,12.833792910446984,12.23637874129388,38,Lama,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,
2.6,885,643,1517,348,3.9,7.3,317,451923,107285,1,1,14304,5000,13.021269303084065,11.583253444803258,5,Baru,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,3.0
7.5,394,1649,2309,257,5.3,14.1,199,254822,95456,3,4,4004,20000,12.448324465482315,11.466431163290444,24,Menengah,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0.0
2.4,1112,975,1931,271,5.3,13.1,112,421068,140036,2,3,4573,50,12.950551994722057,11.84966195238841,21,Menengah,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,1.0
4.8,1338,1214,2130,388,2.6,12.2,441,485529,160427,3,1,6865,1000,13.092996356771517,11.985600522771122,16,Menengah,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,3.0
3.3,321,1211,1310,214,3.8,14.3,294,207705,17202,2,1,1783,20000,12.243878897265928,9.75283906619704,28,Lama,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.0
2.5,850,1052,1969,298,5.3,12.9,258,164130,227480,4,1,568,20000,12.008420168438793,12.33482199740193,17,Menengah,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,2.0
6.3,513,569,1025,398,2.9,12.7,432,117868,223756,1,4,2525,100000,11.67732911726166,12.31831592056394,29,Lama,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,
6.7,941,1404,1944,276,5.9,10.6,122,321642,220066,1,3,8700,1000,12.681197513816697,12.30168732442449,20,Menengah,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,1.0
7.8,475,1590,2093,369,3.2,6.5,304,57597,213535,2,1,8972,20000,10.96124312385893,12.271560715703332,23,Menengah,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2.0
3.8,805,1377,2339,243,3.7,8.2,339,385789,48261,3,4,5814,1000,12.863048458951942,10.784399780508464,1,Baru,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
7.9,1005,756,2256,265,4.1,11.2,237,39689,218694,3,4,645,200,10.58885454577711,12.295433344034969,19,Menengah,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2.0
2.2,1113,1755,1944,386,3.7,8.8,322,413336,196238,1,1,4065,1000,12.932018519841504,12.187088583118326,44,Lama,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,3.0
3.3,1364,172,1817,196,3.7,9.8,423,442945,247875,2,4,942,100000,13.001203145434802,12.420683900105436,32,Lama,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,
2.7,267,1660,2297,173,5.9,11.9,383,326310,149607,2,2,8419,1000,12.69560619332181,11.915773819028557,38,Lama,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,1.0
2.7,254,487,1415,185,5.2,14.8,354,293267,246485,1,2,6188,20000,12.588842145706147,12.41506047572013,44,Lama,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0
5.6,1063,658,1399,209,2.2,12.7,422,84547,240797,2,1,12469,5000,11.345074699404726,12.39171368673447,40,Lama,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2.0
2.0,699,1595,1225,239,7.0,14.4,260,48122,14449,2,1,8071,20000,10.781515512284953,9.57844969354058,36,Lama,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,2.0
7.5,730,1383,1820,165,5.6,12.1,233,355119,198040,4,1,9960,20000,12.780211039507916,12.196229358947562,14,Menengah,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0
2.4,287,591,2230,283,3.5,10.6,264,302760,80748,4,2,14184,5000,12.620698994363876,11.299100857107293,17,Menengah,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
6.0,531,774,1190,378,6.5,5.0,438,146506,173436,3,2,5840,1000,11.894828487867722,12.063569700035853,26,Lama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,2.0
4.9,638,149,1223,330,6.3,9.3,128,225597,213264,2,1,4420,100000,12.326509933318516,12.27029080285674,39,Lama,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,
7.9,1240,159,958,386,2.3,13.5,148,31748,5102,2,2,5078,5000,10.365616507761834,8.537583881063972,2,Baru,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,
2.9,667,438,1168,324,2.6,9.6,297,335607,65384,3,1,8456,100000,12.723699091193334,11.088048153340605,4,Baru,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,
2.3,647,1370,2241,221,6.8,11.9,188,336176,55261,2,2,11637,20000,12.72539308595674,10.919840790366807,17,Menengah,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0
2.5,955,1186,1414,345,7.0,10.7,162,333497,56771,1,1,1448,5000,12.717392147318334,10.946798525419148,22,Menengah,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,0.0
4.4,1457,775,1432,334,5.6,6.8,218,428587,2007,1,3,9710,100000,12.9682513634962,7.60489448081162,8,Baru,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,
6.7,1230,804,2256,207,5.1,14.1,290,237099,204767,2,1,5625,5000,12.376237272053496,12.229632909939186,39,Lama,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,1.0
5.4,809,1184,1620,368,4.1,12.1,378,456397,29930,3,4,1842,20000,13.03112051483951,10.306650011581617,29,Lama,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,0.0
2.1,1329,1302,2465,379,3.1,9.5,308,139845,148193,3,3,6536,5000,11.848297096147409,11.90627750519459,15,Menengah,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,2.0
7.8,278,658,1933,289,6.5,5.9,116,201491,185441,3,3,501,1000,12.21350495734747,12.13049744367504,38,Lama,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0
3.3,1434,375,1314,167,3.8,13.9,137,29707,86040,1,1,9221,100000,10.299171648789187,11.362579205815289,27,Lama,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,
2.4,474,397,2441,268,6.2,6.6,445,396474,76244,4,2,7702,5000,12.8903682663668,11.241707118549112,21,Menengah,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,1.0
7.5,1103,368,2298,164,6.0,13.5,386,109993,22077,1,4,5357,20000,11.60818109783235,10.002336916578296,14,Menengah,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
3.9,1051,812,2454,337,6.2,12.9,197,161609,58963,1,3,2629,5000,11.992941304342688,10.984682367167167,34,Lama,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0.0
4.3,1512,331,1661,301,4.8,13.4,122,252555,225857,1,2,13356,5000,12.439388285285736,12.327661762195508,38,Lama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,3.0
